#: table_doi: 10.17182/hepdata.111124.v2/t13
#: name: Table 13
#: description: The $m(HH)$ distributions in the boosted $2b$ signal regions (dots), after the fit under the background-only hypothesis. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background model (stacked histogram) is shown with its total post-fit uncertainty (gray band). The uncertainty bands are defined using an ensemble of curves constructed by sampling a multivariate Gaussian probability density function built from the covariance matrix of the fit. Representative spin-0 signal hypotheses (dashed and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. No significant excess of data relative to the SM background is observed.
#: data_file: data13_boosted_sr_2b_mhh_spin0.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: Data,,,Events / 100 GeV
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 2b Signal Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data,error +,error -
2650.0,2600.0,2700.0,1.719016432762146,0.23913678098779423,-0.23913678098779423
2750.0,2700.0,2800.0,1.2859822511672974,0.17974851945873294,-0.17974851945873294
2850.0,2800.0,2900.0,0.9759274125099182,0.14473082641314883,-0.14473082641314883
2950.0,2900.0,3000.0,0.7510533332824707,0.10719696593245387,-0.10719696593245387
3050.0,3000.0,3100.0,0.5859338641166687,0.07761813349817881,-0.07761813349817881
3150.0,3100.0,3200.0,0.4632466435432434,0.05883305337373812,-0.05883305337373812
3250.0,3200.0,3300.0,0.3710462152957916,0.04838364499174752,-0.04838364499174752
3350.0,3300.0,3400.0,0.3009989857673645,0.03908174827152916,-0.03908174827152916
3450.0,3400.0,3500.0,0.24722620844841003,0.033247131858622825,-0.033247131858622825
3550.0,3500.0,3600.0,0.20553655922412872,0.029030638605464898,-0.029030638605464898
3650.0,3600.0,3700.0,0.17291107773780823,0.02498759315466484,-0.02498759315466484
3750.0,3700.0,3800.0,0.14715386927127838,0.023021306154658278,-0.023021306154658278
3850.0,3800.0,3900.0,0.12665259838104248,0.021375934276570585,-0.021375934276570585
3950.0,3900.0,4000.0,0.11021275818347931,0.019929285587214296,-0.019929285587214296
4050.0,4000.0,4100.0,0.09694184362888336,0.018599339264206205,-0.018599339264206205
4150.0,4100.0,4200.0,0.08616750687360764,0.01805116877518874,-0.01805116877518874
4250.0,4200.0,4300.0,0.077379509806633,0.016843912998342495,-0.016843912998342495
4350.0,4300.0,4400.0,0.07018794119358063,0.016692670362931414,-0.016692670362931414
4450.0,4400.0,4500.0,0.06429306417703629,0.015858615821045224,-0.015858615821045224
4550.0,4500.0,4600.0,0.05946333333849907,0.015459626009188002,-0.015459626009188002
4650.0,4600.0,4700.0,0.05551929771900177,0.015971812260266838,-0.015971812260266838
4750.0,4700.0,4800.0,0.052321694791316986,0.016062790764796706,-0.016062790764796706
4850.0,4800.0,4900.0,0.04976268485188484,0.01597508808859535,-0.01597508808859535
4950.0,4900.0,5000.0,0.04775930941104889,0.016329726880269527,-0.016329726880269527
5050.0,5000.0,5100.0,0.04624871164560318,0.016649056222938385,-0.016649056222938385
5150.0,5100.0,5200.0,0.04518456012010574,0.01718649649504521,-0.01718649649504521

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,3 TeV Spin-0 Signal [Events / 100 GeV]
850.0,800.0,900.0,-
